t,fx,fy,fz,tx,ty,tz,tau_raw,tau_screw,tau_perp_mag,u,pA,pB
1786016700.5212655,-22.170503616333008,-24.950082778930664,-76.16314697265625,6.299104690551758,-2.344599485397339,4.944504261016846,6.299104690551758,2.5565922737121585,5.472227072603915,1.0,40.0,0.0
1786016700.571279,-12.510456085205078,-15.579507827758789,-83.61094665527344,4.435417175292969,-0.7138696908950806,5.095889568328857,4.435417175292969,2.0984910011291507,5.145648688764275,1.0,40.0,0.0
1786016700.6231067,-8.620073318481445,-11.367199897766113,-91.12760925292969,2.896198272705078,-0.00331300962716341,4.7505412101745605,2.896198272705078,1.1911182880401612,4.750542365414666,0.8615295012887472,34.46118005154989,0.0
1786016700.672022,-7.928804874420166,-9.760210990905762,-95.6021499633789,2.786567211151123,0.06243566796183586,4.120862007141113,2.786567211151123,1.3225355625152588,4.121334965097223,0.9289229753785408,37.15691901514163,0.0
1786016700.7230387,-8.700223922729492,-9.961403846740723,-97.65200805664062,2.6646440029144287,0.17898516356945038,3.5966439247131348,2.6646440029144287,1.1704334259033204,3.6010947238241156,0.8509218796801109,34.03687518720444,0.0
1786016700.7720485,-6.997646808624268,-10.22641658782959,-101.91405487060547,2.5490152835845947,0.4963544011116028,3.3102118968963623,2.5490152835845947,1.0150527954101562,3.3472183218094798,0.7712395050682318,30.84958020272927,0.0
1786016700.823023,-6.698913097381592,-10.240447998046875,-104.98365020751953,2.529707193374634,0.5563904047012329,3.089743137359619,2.529707193374634,0.9936399936676026,3.1394399082168247,0.7602585810976914,30.410343243907654,0.0
1786016700.872041,-6.9687604904174805,-10.191786766052246,-106.02616119384766,2.4333434104919434,0.5362815856933594,2.9474289417266846,2.4333434104919434,0.9045753955841065,2.9958196383764273,0.7145844282343601,28.583377129374405,0.0
1786016700.9231331,-5.940486431121826,-10.480171203613281,-107.12565612792969,2.4268698692321777,0.7455982565879822,2.9203004837036133,2.4268698692321777,0.8548441886901856,3.0139793754016626,0.6890812452118366,27.56324980847346,0.0
1786016700.9720294,-6.386669635772705,-10.398113250732422,-106.98503875732422,2.410651206970215,0.6503224968910217,2.8149054050445557,2.410651206970215,0.8509342193603515,2.889050326545321,0.6870761327349986,27.48304530939994,0.0
1786016701.022,-5.744542598724365,-10.560436248779297,-108.5247802734375,2.373894214630127,0.7778369188308716,2.895855188369751,2.373894214630127,0.7898287773132324,2.9985008828253346,0.6557400086082709,26.229600344330834,0.0
1786016701.0720828,-5.765215873718262,-10.173360824584961,-108.95198059082031,2.2736871242523193,0.7534323334693909,2.8775713443756104,2.2736871242523193,0.7476830005645752,2.974571754570528,0.6341267897628056,25.365071590512223,0.0
1786016701.1220543,-6.0689826011657715,-10.507298469543457,-108.05496978759766,2.3672258853912354,0.7387804985046387,2.860912799835205,2.3672258853912354,0.7911311149597169,2.954762033266245,0.6564078740680065,26.25631496272026,0.0
1786016701.1720278,-6.108963966369629,-10.494024276733398,-108.35197448730469,2.3317887783050537,0.6642892360687256,2.917296886444092,2.3317887783050537,0.7576851367950439,2.9919728128465946,0.6392560903938151,25.570243615752606,0.0
1786016701.2220292,-6.353257179260254,-10.1637601852417,-108.49664306640625,2.2652909755706787,0.6652745008468628,2.8760056495666504,2.2652909755706787,0.7407269477844238,2.951948281697417,0.6305595832088818,25.222383328355274,0.0
1786016701.272025,-6.286215305328369,-10.530691146850586,-108.22198486328125,2.29504132270813,0.6558814644813538,2.967381715774536,2.29504132270813,0.715437650680542,3.039002261032926,0.6175907128991989,24.703628515967957,0.0
1786016701.322032,-6.2612528800964355,-10.089481353759766,-108.79271697998047,2.2427685260772705,0.687231719493866,3.0044662952423096,2.2427685260772705,0.7293463230133057,3.082061835123615,0.6247233653775393,24.98893461510157,0.0
1786016701.3720098,-6.210273265838623,-10.210709571838379,-108.65033721923828,2.2242484092712402,0.705814778804779,3.0074636936187744,2.2242484092712402,0.6926419734954834,3.089176649273123,0.6059006220350662,24.23602488140265,0.0
1786016701.4230094,-6.07252836227417,-10.611249923706055,-109.14702606201172,2.289020538330078,0.7921493649482727,3.032803535461426,2.289020538330078,0.6973330497741699,3.13454907460312,0.6083063021779823,24.332252087119294,0.0
1786016701.4720385,-5.81320333480835,-9.950322151184082,-109.33482360839844,2.238100528717041,0.8113070726394653,3.0548174381256104,2.238100528717041,0.7455522060394288,3.1607164925679645,0.6330340746217049,25.321362984868195,0.0
1786016701.5226693,-5.686202526092529,-9.945184707641602,-109.50212860107422,2.151088237762451,0.8467156887054443,3.0676803588867188,2.151088237762451,0.6593105316162109,3.1823875065427343,0.5888075749174906,23.552302996699623,0.0
1786016701.572028,-5.6839985847473145,-10.541862487792969,-109.54907989501953,2.2802610397338867,0.8842070698738098,3.0361783504486084,2.2802610397338867,0.6989816665649415,3.1623094595797645,0.6091517466860704,24.366069867442818,0.0
1786016701.6219807,-5.586857795715332,-9.941621780395508,-109.77488708496094,2.205169200897217,0.9062734842300415,3.1257481575012207,2.205169200897217,0.7139259338378907,3.2544789402208054,0.616815473492711,24.672618939708443,0.0
